Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37379352,10/9/17 0:00,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11212,Assigned,BROOKLYN,40.65714783,-73.92480331
37381551,10/9/17 0:00,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11368,Open,QUEENS,40.74661349,-73.86472111
37379875,10/9/17 0:00,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11368,Open,QUEENS,40.74661349,-73.86472111
37379174,10/9/17 0:00,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11368,Open,QUEENS,40.74661349,-73.86472111
37380996,10/9/17 0:00,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,PAVEMENT,RESIDENTIAL BUILDING,10027,Open,MANHATTAN,40.81344184,-73.94897926
37380509,10/9/17 0:00,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10027,Open,MANHATTAN,40.81344184,-73.94897926
37382080,10/9/17 0:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,Assigned,BRONX,40.82731545,-73.88077378
37381244,10/9/17 0:01,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11236,Open,BROOKLYN,40.63629351,-73.90027589
37381080,10/9/17 0:01,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,10003,Closed,MANHATTAN,40.72708651,-73.98776916
37380198,10/9/17 0:01,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10026,Closed,MANHATTAN,40.80601168,-73.95511846
37378957,10/9/17 0:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Closed,QUEENS,40.68337318,-73.81821871
37380977,10/9/17 0:02,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11218,Pending,BROOKLYN,40.65569938,-73.97952896
37378523,10/9/17 0:03,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11369,Open,QUEENS,40.76733253,-73.87597143
37379168,10/9/17 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,Assigned,QUEENS,40.69357134,-73.81052071
37379335,10/9/17 0:03,DPR,Department of Parks and Recreation,DPR Internal,Property,Park,11375,Closed,QUEENS,,
37380177,10/9/17 0:04,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11427,Assigned,QUEENS,40.72454607,-73.75265025
37378696,10/9/17 0:05,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,Assigned,QUEENS,40.71821346,-73.89955449
37380899,10/9/17 0:05,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11228,Closed,BROOKLYN,40.60942336,-74.01279994
37382779,10/9/17 0:05,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,Assigned,BROOKLYN,40.60710689,-73.96263872
37382286,10/9/17 0:05,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11373,Closed,QUEENS,40.74649756,-73.87635307
37381073,10/9/17 0:06,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,NYC Street Address,,Closed,Unspecified,,
37379211,10/9/17 0:06,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Park,11361,Open,QUEENS,40.77131142,-73.77834094
37379486,10/9/17 0:06,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11216,Open,BROOKLYN,40.68375395,-73.95238119
37381779,10/9/17 0:06,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10029,Closed,MANHATTAN,40.79587005,-73.94884826
37383296,10/9/17 0:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,Assigned,BROOKLYN,40.64401319,-73.97174193
37381289,10/9/17 0:08,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,Closed,BROOKLYN,40.65363313,-73.96061608
37382333,10/9/17 0:09,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11203,Open,BROOKLYN,40.63727718,-73.9317652
