Id;Label;Sex;Value
376088951;Name;1;10
17647430;Name;1;18
25478329;Name;1;98
32416061;Name;2;73
43096205;Name;2;71
8427182;Name;2;25
550180187;Name;2;28
28110685;Name;1;32
870137221;Name;1;37
757868;Name;1;41
6267172;Name;2;46
8853202;Name;2;57
53423;Name;2;52
50043;Name;2;64
14845783;Name;1;69
5495342;Name;1;78
8951652;Name;1;15
63293;Name;2;23
7591982;Name;2;29
6753482;Name;2;11
8099092;Name;2;12
74507148;Name;1;13
66748937;Name;1;14
289731706;Name;1;15
369689042;Name;2;16
12394792;Name;2;17
22606966;Name;2;19
38623365;Name;2;10
80841185;Name;1;10
20455375;Name;1;10
16584194;Name;1;10
19150554;Name;2;10
106714817;Name;2;10
42636903;Name;2;11
16996238;Name;2;12
241696095;Name;1;10
249601180;Name;1;18
48027510;Name;1;98
3291611;Name;2;73
31715433;Name;2;71
193763394;Name;2;25
191004748;Name;2;28
199663247;Name;1;32
376278971;Name;1;37
413059558;Name;1;41
189041428;Name;2;46
61502712;Name;2;57
187478243;Name;2;52
282199322;Name;2;64
90186360;Name;1;69
14385735;Name;1;78
27867782;Name;1;15
191141576;Name;2;23
18915289;Name;2;29
15138496;Name;2;11
19061911;Name;2;12
43969788;Name;1;13
261314721;Name;1;14
17405847;Name;1;15
22757663;Name;2;16
2216141;Name;2;17
2049521;Name;2;19
68102530;Name;2;10
55223;Name;1;10
194664942;Name;1;10
24722855;Name;1;10
29164670;Name;2;10
73626490;Name;2;10
142281752;Name;2;11
34621309;Name;2;12
241537171;Name;1;10
14001032;Name;1;18
8157942;Name;1;98
9914592;Name;2;73
17923823;Name;2;71
12699272;Name;2;25
18304428;Name;2;28
5223701;Name;1;32
27954163;Name;1;37
57601933;Name;1;41
3558021;Name;2;46
49430094;Name;2;57
74447545;Name;2;52
213408766;Name;2;64
2230301;Name;1;69
36637683;Name;1;78
274558481;Name;1;15
72288115;Name;2;23
17870064;Name;2;29
123516974;Name;2;11
10161492;Name;2;12
340169200;Name;1;13
20990789;Name;1;14
16856080;Name;1;15
94154580;Name;2;16
188521917;Name;2;17
20059362;Name;2;19
40970867;Name;2;10
20646457;Name;1;10
15205208;Name;1;10
395167263;Name;1;10
181792900;Name;2;10
109562464;Name;2;10
6091282;Name;2;11
42428580;Name;2;12
14223773;Name;1;10
18302912;Name;1;18
27051056;Name;1;98
14465180;Name;2;73
214104989;Name;2;71
193216437;Name;2;25
25481788;Name;2;28
20975289;Name;1;32
33178393;Name;1;37
18044287;Name;1;41
234673113;Name;2;46
20611257;Name;2;57
123806121;Name;2;52
45535193;Name;2;64
38169303;Name;1;69
17211001;Name;1;78
15203929;Name;1;15
146362050;Name;2;23
27008946;Name;2;29
304958060;Name;2;11
20692623;Name;2;12
46063659;Name;1;13
59225707;Name;1;14
355698875;Name;1;15
63283;Name;2;16
280086244;Name;2;17
53017241;Name;2;19
23044467;Name;2;10
570803272;Name;1;10
119887780;Name;1;10
87441621;Name;1;10
46599991;Name;2;10
589818901;Name;2;10
28309560;Name;2;11
31692447;Name;2;12
26370924;Name;1;10
28301330;Name;1;18
11559482;Name;1;98
27608532;Name;2;73
36956004;Name;2;71
376215183;Name;2;25
87437255;Name;2;28
65493783;Name;1;32
332757341;Name;1;37
279929259;Name;1;41
103521785;Name;2;46
15162181;Name;2;57
22293159;Name;2;52
228840758;Name;2;64
201680413;Name;1;69
62787247;Name;1;78
16167356;Name;1;15
17674168;Name;2;23
68677431;Name;2;29
7041652;Name;2;11
187487492;Name;2;12
160915267;Name;1;13
187990637;Name;1;14
6662702;Name;1;15
119522971;Name;2;16
8481052;Name;2;17
48713350;Name;2;19
41554259;Name;2;10
20946040;Name;1;10
17115052;Name;1;10
16401912;Name;1;10
18673689;Name;2;10
122961556;Name;2;10
62780319;Name;2;11
17673017;Name;2;12
112249114;Name;1;10
36726994;Name;1;18
214256570;Name;1;98
18100161;Name;2;73
560906500;Name;2;71
236902913;Name;2;25
304362353;Name;2;28
320140078;Name;1;32
29161623;Name;1;37
14002442;Name;1;41
260246778;Name;2;46
210529734;Name;2;57
367937407;Name;2;52
94867275;Name;2;64
257372711;Name;1;69
27694668;Name;1;78
171431641;Name;1;15
43677126;Name;2;23
276612434;Name;2;29
25981822;Name;2;11
15643544;Name;2;12
545418984;Name;1;13
83100029;Name;1;14
557260446;Name;1;15
208404560;Name;2;16
373588703;Name;2;17
16656126;Name;2;19
16629055;Name;2;10
42168605;Name;1;10
171799836;Name;1;10
