County,Population
Alameda County,"1,647,704"
Alpine County,"1,071"
Amador County,"37,383"
Butte County,"226,864"
Calaveras County,"45,171"
Colusa County,"21,588"
Contra Costa County,"1,135,127"
Del Norte County,"27,540"
El Dorado County,"185,625"
Fresno County,"979,915"
Glenn County,"28,085"
Humboldt County,"136,646"
Imperial County,"180,883"
Inyo County,"18,144"
Kern County,"884,788"
Kings County,"149,785"
Lake County,"64,116"
Lassen County,"30,870"
Los Angeles County,"10,137,915"
Madera County,"154,697"
Marin County,"260,651"
Mariposa County,"17,410"
Mendocino County,"87,628"
Merced County,"268,672"
Modoc County,"8,795"
Mono County,"13,981"
Monterey County,"435,232"
Napa County,"142,166"
Nevada County,"99,107"
Orange County,"3,172,532"
Placer County,"380,531"
Plumas County,"18,627"
Riverside County,"2,387,741"
Sacramento County,"1,514,460"
San Benito County,"59,414"
San Bernardino County,"2,140,096"
San Diego County,"3,317,749"
San Francisco County,"870,887"
San Joaquin County,"733,709"
San Luis Obispo County,"282,887"
San Mateo County,"764,797"
Santa Barbara County,"446,170"
Santa Clara County,"1,919,402"
Santa Cruz County,"274,673"
Shasta County,"179,631"
Sierra County,"2,947"
Siskiyou County,"43,603"
Solano County,"440,207"
Sonoma County,"503,070"
Stanislaus County,"541,560"
Sutter County,"96,651"
Tehama County,"63,276"
Trinity County,"12,782"
Tulare County,"460,437"
Tuolumne County,"53,804"
Ventura County,"849,738"
Yolo County,"215,802"
Yuba County,"75,275"
