time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-12T20:19:15.000Z,25.0296,121.8571,135.65,4.6,mb,,35,0.331,0.96,us,us1000jeay,2019-03-12T20:49:23.040Z,"15km SE of Keelung, Taiwan",earthquake,5.9,4.7,0.049,122,reviewed,us,us
2019-03-12T19:43:10.690Z,15.9498,-95.1134,76.45,4.5,mb,,184,2.88,0.91,us,us1000jea5,2019-03-12T20:32:35.040Z,"25km SSE of Salina Cruz, Mexico",earthquake,13.1,17.3,0.09,36,reviewed,us,us
2019-03-12T18:06:30.760Z,-14.5569,-72.3701,85.16,4.5,mb,,122,4.262,0.99,us,us1000je8b,2019-03-12T19:45:21.040Z,"33km WSW of Santo Tomas, Peru",earthquake,8.2,9.4,0.121,20,reviewed,us,us
2019-03-12T17:58:34.780Z,33.1121667,-118.6823333,5.78,2.89,ml,42,142,0.2556,0.27,ci,ci38265967,2019-03-12T21:56:17.309Z,"12km NW of San Clemente Is. (NW tip), CA",earthquake,0.42,31.61,0.139,30,reviewed,ci,ci
2019-03-12T17:40:11.322Z,66.254,-157.0262,20.8,2.6,ml,,,,0.49,ak,ak01939pin86,2019-03-12T18:57:17.040Z,"70km S of Kobuk, Alaska",earthquake,,3,,,reviewed,ak,ak
2019-03-12T17:00:44.340Z,-2.3069,138.1905,47.24,4.2,mb,,163,5.966,1.29,us,us1000je7b,2019-03-12T18:33:22.040Z,"268km W of Abepura, Indonesia",earthquake,10.7,7.5,0.11,23,reviewed,us,us
2019-03-12T16:53:41.013Z,66.216,-157.3216,1.3,3.4,ml,,,,0.57,ak,ak01939p00vh,2019-03-12T18:38:15.040Z,"79km SSW of Kobuk, Alaska",earthquake,,1,,,automatic,ak,ak
2019-03-12T16:32:10.400Z,17.7925,-68.4706,57,3.04,md,8,284,0.7269,0.25,pr,pr2019071019,2019-03-12T18:33:14.040Z,"89km S of Boca de Yuma, Dominican Republic",earthquake,2.83,5.29,0.28,8,reviewed,pr,pr
2019-03-12T16:31:17.658Z,66.2379,-157.2291,6.1,3.4,ml,,,,0.57,ak,ak01939ov9hd,2019-03-12T18:29:53.040Z,"76km SSW of Kobuk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-03-12T16:29:31.210Z,17.9721,-66.1543,16,2.63,md,8,172,0.0479,0.13,pr,pr2019071018,2019-03-12T17:29:11.962Z,"2km NNE of Jobos, Puerto Rico",earthquake,0.65,0.62,0.11,7,reviewed,pr,pr
2019-03-12T16:22:58.041Z,66.2935,-156.945,0,3.1,ml,,,,0.92,ak,ak01939otezd,2019-03-12T18:42:07.040Z,"68km S of Kobuk, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-03-12T15:52:51.619Z,66.3096,-157.2729,12,4.6,ml,,,,0.85,ak,ak01939oejs4,2019-03-12T17:14:37.040Z,"68km SSW of Kobuk, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-03-12T15:52:41.893Z,66.2632,-157.2276,7.6,4.3,ml,,,,0.54,ak,ak01939oedkl,2019-03-12T21:31:10.040Z,"73km SSW of Kobuk, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-03-12T15:40:45.956Z,66.3,-157.2226,0.1,3,ml,,,,0.66,ak,ak01939obtdj,2019-03-12T18:24:24.040Z,"69km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-12T15:00:30.705Z,56.9163,-158.1565,123.1,3.3,ml,,,,0.87,ak,ak01939o37hh,2019-03-12T18:21:54.040Z,"82km NNE of Chignik Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
